epoch,time,lr,train_loss,validation_loss
0,454.62306571006775,0.005,1.5413184222225175e+22,6.317425014954894e+18
1,454.56513476371765,0.005,3.144514600683544e+18,1.6143840218143306e+18
2,454.5558109283447,0.005,1.099170743304645e+18,9.374243050641741e+17
3,454.2204282283783,0.005,5.953175275962061e+17,4.181911486679969e+17
4,454.1823670864105,0.005,3.695711200131277e+17,2.5240433520759395e+17
5,454.0742280483246,0.005,2.4702346832901126e+17,1.6345588757323286e+17
6,454.2030954360962,0.005,1.7144987560011597e+17,1.1723240461392165e+17
7,454.3927254676819,0.005,1.2093885917597778e+17,1.4039696281074482e+17
8,454.09364080429077,0.005,1.0285552943342995e+17,7.053878917113164e+16
9,454.2291581630707,0.005,5.7667737452352376e+16,3.1323968286630344e+16
10,454.3729250431061,0.005,5.134080713308081e+16,2.218163320557564e+16
11,454.1938636302948,0.005,2.742437045458913e+16,1.632553727137004e+16
12,454.06748032569885,0.005,2.192221455321876e+16,7770429650769764.0
13,454.0983204841614,0.005,1.347212313310923e+16,4585616531335241.0
14,454.2388322353363,0.005,5.0111075657093816e+16,1.862989340620436e+16
15,454.15362429618835,0.005,6773492261972746.0,3841238904599962.5
16,453.8951766490936,0.005,3836064098257722.5,1948623469244021.0
17,454.47840332984924,0.005,2629309419194428.0,1142168076560124.0
18,454.32352590560913,0.005,2096891637549020.0,759869248787908.2
19,454.104519367218,0.005,1180310621296819.8,483718903277807.1
20,454.17843770980835,0.005,773945474737038.2,254080511196435.5
21,454.1709599494934,0.005,1.9068170643678152e+18,2.468744642201914e+16
22,454.31146025657654,0.005,1.4197665916073828e+16,8828291831990719.0
23,454.3573589324951,0.005,6653302600430981.0,5046496395519491.0
24,454.27594470977783,0.005,4109428391166431.0,3285608194760246.5
